L 57.3000, 138.5000, 27.7000,  45.5000, 142.1000, 27.0000,  0, 0, 0
L 45.5000, 142.1000, 27.0000,  39.6000, 154.2000, 27.0000,  0, 0, 0
L 39.6000, 154.2000, 27.0000,  40.9000, 166.0000, 27.0000,  0, 0, 0
L 40.9000, 166.0000, 27.0000,  45.8000, 174.2000, 27.0000,  0, 0, 0
L 45.8000, 174.2000, 27.0000,  50.7000, 186.5000, 27.0000,  0, 0, 0
L 50.7000, 186.5000, 27.0000,  63.9000, 189.0000, 27.0000,  0, 0, 0
L 63.9000, 189.0000, 27.0000,  82.0000, 188.0000, 27.0000,  0, 0, 0
L 82.0000, 188.0000, 27.0000,  93.1000, 179.5000, 27.0000,  0, 0, 0
L 93.1000, 179.5000, 27.0000,  107.9000, 171.6000, 27.0000,  0, 0, 0
L 107.9000, 171.6000, 27.0000,  113.4000, 159.1000, 27.0000,  0, 0, 0
L 113.4000, 159.1000, 27.0000,  110.6000, 145.6000, 27.0000,  0, 0, 0
L 110.6000, 145.6000, 27.0000,  110.2000, 135.5000, 27.0000,  0, 0, 0
L 110.2000, 135.5000, 27.0000,  98.9000, 125.8000, 27.0000,  0, 0, 0
L 98.9000, 125.8000, 27.0000,  84.2000, 120.7000, 27.0000,  0, 0, 0
L 84.2000, 120.7000, 27.0000,  72.3000, 129.9000, 27.7000,  0, 0, 0
L 72.3000, 129.9000, 27.7000,  59.6000, 116.7000, 23.0000,  0, 0, 0
L 59.6000, 116.7000, 23.0000,  50.3000, 112.3000, 21.5000,  0, 0, 0
L 50.3000, 112.3000, 21.5000,  42.3000, 103.7000, 19.5000,  0, 0, 0
L 42.3000, 103.7000, 19.5000,  32.8000, 98.7000, 14.5000,  0, 0, 0
L 32.8000, 98.7000, 14.5000,  19.4000, 83.5000, -5.2000,  0, 0, 0
L 27.5000, 73.0000, -4.5000,  19.4000, 83.5000, -5.2000,  0, 0, 0
L 27.5000, 73.0000, -4.5000,  61.4000, 47.7000, -0.3000,  0, 0, 0
L 61.4000, 47.7000, -0.3000,  81.6000, 64.1000, -1.5000,  0, 0, 0
L 81.6000, 64.1000, -1.5000,  91.6000, 60.8000, -1.4000,  0, 0, 0
L 91.6000, 60.8000, -1.4000,  114.7000, 40.6000, -1.4000,  0, 0, 0
L 114.7000, 40.6000, -1.4000,  129.1000, 8.5000, -1.4000,  0, 0, 0
L 129.1000, 8.5000, -1.4000,  134.4000, -16.0000, -1.6000,  0, 0, 0
L 134.4000, -16.0000, -1.6000,  135.2000, -36.9000, -2.0000,  0, 0, 0
L 135.2000, -36.9000, -2.0000,  129.2000, -57.0000, -0.5000,  0, 0, 0
L 129.2000, -57.0000, -0.5000,  123.0000, -66.9000, -0.3000,  0, 0, 0
L 123.0000, -66.9000, -0.3000,  109.3000, -67.3000, -0.1000,  0, 0, 0
L 109.3000, -67.3000, -0.1000,  84.4000, -60.1000, -1.4000,  0, 0, 0
L 84.4000, -60.1000, -1.4000,  82.9000, -66.5000, -5.7000,  0, 0, 0
L 82.9000, -66.5000, -5.7000,  74.7000, -83.6000, -4.8000,  0, 0, 0
L 74.7000, -83.6000, -4.8000,  88.5000, -96.9000, -3.6000,  0, 0, 0
L 88.5000, -96.9000, -3.6000,  95.4000, -106.9000, -2.7000,  0, 0, 0
L 95.4000, -106.9000, -2.7000,  83.6000, -121.4000, -0.9000,  0, 0, 0
L 83.6000, -121.4000, -0.9000,  68.4000, -130.7000, -0.4000,  0, 0, 0
L 68.4000, -130.7000, -0.4000,  59.7000, -134.2000, -0.4000,  0, 0, 0
L 59.7000, -134.2000, -0.4000,  47.0000, -132.1000, -0.6000,  0, 0, 0
L 47.0000, -132.1000, -0.6000,  37.3000, -118.1000, -2.4000,  0, 0, 0
L 37.3000, -118.1000, -2.4000,  28.6000, -106.7000, -6.3000,  0, 0, 0
L 28.6000, -106.7000, -6.3000,  -6.5000, -103.7000, -0.7000,  0, 0, 0
L -6.5000, -103.7000, -0.7000,  -12.7000, -114.4000, 0.3000,  0, 0, 0
L -12.7000, -114.4000, 0.3000,  -19.7000, -122.9000, 1.6000,  0, 0, 0
L -19.7000, -122.9000, 1.6000,  -23.2000, -126.6000, 3.1000,  0, 0, 0
L -41.1000, -126.9000, 0.4000,  -53.0000, -120.7000, 0.4000,  0, 0, 0
L -53.0000, -120.7000, 0.4000,  -58.1000, -114.2000, 0.3000,  0, 0, 0
L -58.1000, -114.2000, 0.3000,  -59.1000, -111.0000, 3.1000,  0, 0, 0
L 56.9000, 138.0000, 27.6000,  45.5000, 127.0000, 23.6000,  0, 0, 0
L 45.5000, 127.0000, 23.6000,  39.1000, 118.8000, 20.4000,  0, 0, 0
L 39.1000, 118.8000, 20.4000,  29.6000, 113.0000, 17.0000,  0, 0, 0
L 29.6000, 113.0000, 17.0000,  22.8000, 107.3000, 14.1000,  0, 0, 0
L 22.8000, 107.3000, 14.1000,  19.8000, 105.8000, 12.1000,  0, 0, 0
L 19.8000, 105.8000, 12.1000,  10.6000, 94.8000, 9.8000,  0, 0, 0
L 10.6000, 94.8000, 9.8000,  4.2000, 82.8000, 5.8000,  0, 0, 0
L 4.2000, 82.8000, 5.8000,  -6.7000, 77.6000, -3.8000,  0, 0, 0
L -6.7000, 77.6000, -3.8000,  -28.9000, 67.8000, -5.5000,  0, 0, 0
L -28.9000, 67.8000, -5.5000,  -42.7000, 62.2000, -4.5000,  0, 0, 0
L -42.7000, 62.2000, -4.5000,  -55.4000, 61.7000, -4.2000,  0, 0, 0
